first_name,last_name,birth_date,player_id,season,season_type,league,team,games,starts,minutes,points,plus_minus,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,blocked_shot_attempts,offensive_rebounds,defensive_rebounds,assists,screen_assists,turnovers,steals,deflections,loose_balls_recovered,blocked_shots,personal_fouls,personal_fouls_drawn,offensive_fouls,charges_drawn,technical_fouls,flagrant_fouls,ejections,points_off_turnovers,points_in_paint,second_chance_points,fast_break_points,possessions,estimated_possessions,calculated_possessions,plays_used,team_possessions,usage_percentage,true_shooting_percentage,three_point_attempt_rate,free_throw_rate,offensive_rebounding_percentage,defensive_rebounding_percentage,total_rebounding_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,internal_box_plus_minus
theo,greene,1995-12-26,288941,2021,Full Season,EuroLeague,Redhawks,25,18,527.61,195,NA,40,78,30,74,25,31,5,8,59,58,0,26,13,0,0,0,40,39,0,0,0,0,0,0,0,0,0,919.7698,919.7698,NA,NA,1778.1345,18.2974,0.5886,0.4868,0.2039,3.2474,13.4519,9.7267,19.0212,1.8221,0,13.5671,0.7786
theo,greene,1995-12-26,288941,2021,Full Season,Spain - ACB,Redhawks,17,10,356.7,135,NA,26,56,20,43,23,29,2,11,40,37,0,14,7,0,0,1,20,26,0,0,0,0,0,0,0,0,0,652.1629,652.1629,NA,NA,1461.3459,16.973,0.604,0.4343,0.2929,3.7781,13.5418,9.9234000000000009,14.7139,0.8723,0.8292,11.1323,2.7367
miles,brussino,1993-02-01,234057,2021,Full Season,EuroCup,Orange,12,2,204.7,82,NA,14,25,11,27,21,22,2,3,27,9,0,10,6,0,0,5,22,20,0,0,0,0,0,0,0,0,0,386.7079,386.7079,NA,NA,1057.9286,16.5449,0.6647,0.5192,0.4231,3.0377,14.5608,10.4102,5.2539,1.5268,3.0675,13.9509,3.22
miles,brussino,1993-02-01,234057,2021,Full Season,Italy - Liga A,Orange,16,3,266,83,NA,24,47,5,25,20,24,2,7,30,8,0,7,9,0,0,3,24,20,0,0,0,0,0,0,0,0,0,500.4995,500.4995,NA,NA,1354.7356,15.546,0.5027,0.3472,0.3333,3.7641,14.6187,8.9342,4.4051,1.9879,1.4668,7.816,-1.5619
kadoshnikov,christmas,1993-08-10,785284,2017,Full Season,NBA,Thunder,73,6,1135.2833,430,-49,43,100,99,264,47,53,9,20,75,44,14,33,37,62,22,8,122,0,0,1,0,0,0,0,0,0,0,2504.5,2314.6044,2504.5,421,8564.9572,15.7279,0.5551,0.7253,0.1456,2.2515,8.3138,4.1831,7.9835,1.7237,0.6262,7.8512,-1.8309
kadoshnikov,christmas,1993-08-10,785284,2018,Full Season,NBA,Thunder,81,8,1243.8,377,69,33,77,90,234,41,48,11,29,100,30,4,26,43,78,47,10,135,0,0,2,0,0,0,0,0,0,0,2666,2507.953,2666,361,8577.6105,12.3717,0.5676,0.7524,0.1543,2.7414,10.2934,6.3177,5.7126,1.711,1.1719,7.2601,-1.3166
kadoshnikov,christmas,1993-08-10,785284,2019,Full Season,NBA,Thunder,31,2,588.1667,165,29,15,30,41,127,12,13,6,5,43,20,1,14,17,29,17,6,53,0,0,2,1,0,0,0,0,0,0,1272,1258.1393,1272,165,9007.6928,12.2666,0.507,0.8089,0.0828,0.9124,7.2142,4.8119,3.7177,1.5495,1.2268,7.9221,-3.1117
kadoshnikov,christmas,1993-08-10,785284,2012,Full Season,EuroLeague,Redbirds,6,1,70.48,15,NA,3,8,2,15,3,4,1,3,4,3,0,4,2,0,0,2,6,6,0,0,0,0,0,0,0,0,0,129.6115,129.6115,NA,NA,1186.1618,19.0997,0.3029,0.6522,0.1739,4.2915,6.9312,6.6163,5.7849,1.8662,2.4437,13.9082,-5.7589
kadoshnikov,christmas,1993-08-10,785284,2012,Full Season,Spain - ACB,Redbirds,18,6,294.62,86,NA,16,29,13,46,15,22,1,6,23,8,0,17,10,0,0,4,40,23,0,0,0,0,0,0,0,0,0,531.4855,531.4855,NA,NA,2462.4074,16.697,0.5078,0.6133,0.2933,1.9459,7.9654,5.4856,3.148,1.9429,1.6389,16.7191,-2.0328
kadoshnikov,christmas,1993-08-10,785284,2013,Full Season,EuroLeague,Lions,15,2,168.55,77,NA,14,22,11,34,16,16,1,4,12,5,0,8,6,0,0,1,20,15,0,0,0,0,0,0,0,0,0,289.6824,289.6824,NA,NA,2148.3282,21.6704,0.6107,0.6071,0.2857,4.4769,10.8857,6.257,7.387,2.6175,0.4018,11.2613,4.3154
kadoshnikov,christmas,1993-08-10,785284,2013,Full Season,Spain - ACB,Lions,33,3,347.76,110,NA,22,42,17,59,15,22,0,7,26,7,0,18,10,0,0,8,41,24,0,0,0,0,0,0,0,0,0,600.4885,600.4885,NA,NA,3125.3893,18.5534,0.4969,0.5842,0.2178,3.4226,9.7343,7.8824,5.588,2.1977,2.3097,13.9882,-1.5795
kadoshnikov,christmas,1993-08-10,785284,2014,Full Season,EuroLeague,Lions,28,4,465.14,187,NA,37,65,31,84,20,26,4,13,24,19,0,23,11,0,0,4,52,34,0,0,0,0,0,0,0,0,0,797.2247,797.2247,NA,NA,1996.7261,19.7964,0.5828,0.5638,0.1745,5.408,8.3034,5.654,7.3148,1.813,0.7414,12.5382,1.3225
kadoshnikov,christmas,1993-08-10,785284,2014,Full Season,Spain - ACB,Lions,42,15,748.28,290,NA,41,84,54,133,46,52,3,18,46,36,0,18,23,0,0,10,81,58,0,0,0,0,0,0,0,0,0,1311.7742,1311.7742,NA,NA,3155.5262,16.9366,0.6045,0.6129,0.2396,3.7085,6.2373,4.5431,10.364,2.2155,1.6842,6.98,4.7835
kadoshnikov,christmas,1993-08-10,785284,2015,Full Season,EuroLeague,Lions,23,3,417.15,174,NA,30,46,29,85,27,35,2,8,27,31,0,14,15,0,0,4,50,40,0,0,0,0,0,0,0,0,0,730.4032,730.4032,NA,NA,1978.5935,19.0694,0.5943,0.6489,0.2672,3.6188,10.3004,6.3447,14.0649,1.9455,1.2746,8.7282,4.0588
kadoshnikov,christmas,1993-08-10,785284,2015,Full Season,Spain - ACB,Lions,37,15,656.45,306,NA,35,73,67,150,35,39,3,18,45,39,0,20,27,0,0,10,68,49,0,0,0,0,0,0,0,0,0,1132.9681,1132.9681,NA,NA,3054.8632,19.8479,0.6371,0.6726,0.1749,3.6495,9.3766,6.481,10.4413,2.6997,1.3563,7.6876,6.2276
kadoshnikov,christmas,1993-08-10,785284,2016,Full Season,EuroLeague,Lions,25,2,480.53,232,NA,36,66,40,96,40,48,5,15,39,21,0,12,14,0,0,3,40,46,0,0,0,0,0,0,0,0,0,823.7213,823.7213,NA,NA,2014.1771,20.7245,0.6335,0.5926,0.2963,3.5384,9.4447,7.7603,10.8531,1.7896,1.1664,6.1501,4.6497
