first_name,last_name,birth_date,player_id,season,season_type,league,team,games,starts,minutes,points,plus_minus,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,blocked_shot_attempts,offensive_rebounds,defensive_rebounds,assists,screen_assists,turnovers,steals,deflections,loose_balls_recovered,blocked_shots,personal_fouls,personal_fouls_drawn,offensive_fouls,charges_drawn,technical_fouls,flagrant_fouls,ejections,points_off_turnovers,points_in_paint,second_chance_points,fast_break_points,possessions,estimated_possessions,calculated_possessions,plays_used,team_possessions,usage_percentage,true_shooting_percentage,three_point_attempt_rate,free_throw_rate,offensive_rebounding_percentage,defensive_rebounding_percentage,total_rebounding_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,internal_box_plus_minus,fga,fta,three_pct,three_attempt_rate,points_per_36,minutes_per_game,blocks,steals_per_36,blocks_per_36,deflections_per_36,points_per_100pos,age
theo,greene,1995-12-26,288941,2021,Full Season,EuroLeague,Redhawks,25,18,527.61,195,NA,40,78,30,74,25,31,5,8,59,58,0,26,13,0,0,0,40,39,0,0,0,0,0,0,0,0,0,182.4,919.7698,NA,NA,1778.1345,18.2974,0.5886,0.4868,0.20394736842105263,3.2474,13.4519,9.7267,19.0212,1.8221,0,13.5671,0.7786,152,31,0.40540540540540543,0.4868421052631579,13.305282310797748,21.1044,0,0.8870188207198499,0,0,106.9078947368421,26
kadoshnikov,christmas,1993-08-10,785284,2017,Full Season,NBA,Thunder,73,6,1135.2833,430,-49,43,100,99,264,47,53,9,20,75,44,14,33,37,62,22,8,122,0,0,1,0,0,0,0,0,0,0,398.2,2314.6044,2504.5,421,8564.9572,15.7279,0.5551,0.7253,0.1456043956043956,2.2515,8.3138,4.1831,7.9835,1.7237,0.6262,7.8512,-1.8309,364,53,0.375,0.7252747252747253,13.635363085143592,15.55182602739726,8,1.1732754282565416,0.2536811736770901,1.9660290959974485,107.98593671521849,24
kadoshnikov,christmas,1993-08-10,785284,2018,Full Season,NBA,Thunder,81,8,1243.8,377,69,33,77,90,234,41,48,11,29,100,30,4,26,43,78,47,10,135,0,0,2,0,0,0,0,0,0,0,327.2,2507.953,2666,361,8577.6105,12.3717,0.5676,0.7524,0.15434083601286175,2.7414,10.2934,6.3177,5.7126,1.711,1.1719,7.2601,-1.3166,311,48,0.38461538461538464,0.752411575562701,10.911722141823445,15.355555555555554,10,1.244573082489146,0.28943560057887124,2.2575976845151953,115.2200488997555,25
kadoshnikov,christmas,1993-08-10,785284,2019,Full Season,NBA,Thunder,31,2,588.1667,165,29,15,30,41,127,12,13,6,5,43,20,1,14,17,29,17,6,53,0,0,2,1,0,0,0,0,0,0,171.2,1258.1393,1272,165,9007.6928,12.2666,0.507,0.8089,0.08280254777070063,0.9124,7.2142,4.8119,3.7177,1.5495,1.2268,7.9221,-3.1117,157,13,0.3228346456692913,0.8089171974522293,10.099177665107527,18.97311935483871,6,1.0405213351928968,0.3672428241857283,1.7750069835643534,96.3785046728972,26
kadoshnikov,christmas,1993-08-10,785284,2014,Full Season,EuroLeague,Lions,28,4,465.14,187,NA,37,65,31,84,20,26,4,13,24,19,0,23,11,0,0,4,52,34,0,0,0,0,0,0,0,0,0,169.4,797.2247,NA,NA,1996.7261,19.7964,0.5828,0.5638,0.174496644295302,5.408,8.3034,5.654,7.3148,1.813,0.7414,12.5382,1.3225,149,26,0.369047619047619,0.5637583892617449,14.473061873844433,16.612142857142857,4,0.8513565808143785,0.3095842112052285,0,110.3896103896104,21
kadoshnikov,christmas,1993-08-10,785284,2014,Full Season,Spain - ACB,Lions,42,15,748.28,290,NA,41,84,54,133,46,52,3,18,46,36,0,18,23,0,0,10,81,58,0,0,0,0,0,0,0,0,0,237.8,1311.7742,NA,NA,3155.5262,16.9366,0.6045,0.6129,0.23963133640552992,3.7085,6.2373,4.5431,10.364,2.2155,1.6842,6.98,4.7835,217,52,0.40601503759398494,0.6129032258064516,13.951996578820763,17.816190476190474,10,1.1065376596995775,0.48110333030416425,0,121.95121951219512,21
kadoshnikov,christmas,1993-08-10,785284,2015,Full Season,EuroLeague,Lions,23,3,417.15,174,NA,30,46,29,85,27,35,2,8,27,31,0,14,15,0,0,4,50,40,0,0,0,0,0,0,0,0,0,151,730.4032,NA,NA,1978.5935,19.0694,0.5943,0.6489,0.26717557251908397,3.6188,10.3004,6.3447,14.0649,1.9455,1.2746,8.7282,4.0588,131,35,0.3411764705882353,0.648854961832061,15.016181229773464,18.13695652173913,4,1.2944983818770228,0.34519956850053934,0,115.2317880794702,22
kadoshnikov,christmas,1993-08-10,785284,2015,Full Season,Spain - ACB,Lions,37,15,656.45,306,NA,35,73,67,150,35,39,3,18,45,39,0,20,27,0,0,10,68,49,0,0,0,0,0,0,0,0,0,240.6,1132.9681,NA,NA,3054.8632,19.8479,0.6371,0.6726,0.17488789237668162,3.6495,9.3766,6.481,10.4413,2.6997,1.3563,7.6876,6.2276,223,39,0.44666666666666666,0.672645739910314,16.78117145250971,17.741891891891893,10,1.4806915987508569,0.5484042958336507,0,127.18204488778056,22
kadoshnikov,christmas,1993-08-10,785284,2016,Full Season,EuroLeague,Lions,25,2,480.53,232,NA,36,66,40,96,40,48,5,15,39,21,0,12,14,0,0,3,40,46,0,0,0,0,0,0,0,0,0,178.2,823.7213,NA,NA,2014.1771,20.7245,0.6335,0.5926,0.2962962962962963,3.5384,9.4447,7.7603,10.8531,1.7896,1.1664,6.1501,4.6497,162,48,0.4166666666666667,0.5925925925925926,17.380808690404347,19.2212,3,1.0488419037312968,0.2247518365138493,0,130.19079685746354,23
kadoshnikov,christmas,1993-08-10,785284,2016,Full Season,Spain - ACB,Lions,37,15,720.13,328,NA,51,85,59,149,49,57,1,23,64,41,0,24,30,0,0,6,70,59,0,0,0,0,0,0,0,0,0,257.8,1252.7751,NA,NA,3087.8845,19.9135,0.633,0.6368,0.2435897435897436,4.4586,12.4469,7.4536,9.7644,2.6607,1.4643,8.4782,6.3995,234,57,0.3959731543624161,0.6367521367521367,16.397039423437434,19.462972972972977,6,1.499729215558302,0.2999458431116604,0,127.23041117145073,23
kadoshnikov,christmas,1993-08-10,785284,2020,Full Season,Spain - ACB,Lions,28,7,507.15,154,NA,22,40,33,90,11,15,3,15,46,16,0,16,16,0,0,6,55,20,0,0,0,0,0,0,0,0,0,137,937.5032,NA,NA,2384.6576,14.1302,0.5637,0.6923,0.1153846153846154,4.6092,11.7646,8.4145,3.5354,1.926,1.4719,10.4849,0.894,130,15,0.36666666666666664,0.6923076923076923,10.93167701863354,18.1125,6,1.1357586512866016,0.4259094942324756,0,112.40875912408758,27
