first_name,last_name,birth_date,player_id,season,season_type,league,team,games,starts,minutes,points,plus_minus,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,blocked_shot_attempts,offensive_rebounds,defensive_rebounds,assists,screen_assists,turnovers,steals,deflections,loose_balls_recovered,blocked_shots,personal_fouls,personal_fouls_drawn,offensive_fouls,charges_drawn,technical_fouls,flagrant_fouls,ejections,points_off_turnovers,points_in_paint,second_chance_points,fast_break_points,possessions,estimated_possessions,calculated_possessions,plays_used,team_possessions,usage_percentage,true_shooting_percentage,three_point_attempt_rate,free_throw_rate,offensive_rebounding_percentage,defensive_rebounding_percentage,total_rebounding_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,internal_box_plus_minus,fga,fta,three_pct,three_attempt_rate,points_per_36,minutes_per_game,blocks,steals_per_36,blocks_per_36,deflections_per_36,points_per_100pos,age
theo,greene,1995-12-26,288941,2021,Full Season,EuroLeague,Redhawks,25,18,527.61,195,NA,40,78,30,74,25,31,5,8,59,58,0,26,13,0,0,0,40,39,0,0,0,0,0,0,0,0,0,182.4,919.7698,NA,NA,1778.1345,18.2974,0.5886,0.4868,0.20394736842105263,3.2474,13.4519,9.7267,19.0212,1.8221,0,13.5671,0.7786,152,31,0.40540540540540543,0.4868421052631579,13.305282310797748,21.1044,0,0.8870188207198499,0,0,106.9078947368421,26
theo,greene,1995-12-26,288941,2021,Full Season,Spain - ACB,Redhawks,17,10,356.7,135,NA,26,56,20,43,23,29,2,11,40,37,0,14,7,0,0,1,20,26,0,0,0,0,0,0,0,0,0,113.6,652.1629,NA,NA,1461.3459,16.973,0.604,0.4343,0.29292929292929293,3.7781,13.5418,9.9234000000000009,14.7139,0.8723,0.8292,11.1323,2.7367,99,29,0.46511627906976744,0.4343434343434344,13.624894869638352,20.98235294117647,1,0.7064760302775441,0.10092514718250632,0,118.8380281690141,26
miles,brussino,1993-02-01,234057,2021,Full Season,EuroCup,Orange,12,2,204.7,82,NA,14,25,11,27,21,22,2,3,27,9,0,10,6,0,0,5,22,20,0,0,0,0,0,0,0,0,0,67.8,386.7079,NA,NA,1057.9286,16.5449,0.6647,0.5192,0.4230769230769231,3.0377,14.5608,10.4102,5.2539,1.5268,3.0675,13.9509,3.22,52,22,0.4074074074074074,0.5192307692307693,14.421104054714217,17.058333333333334,5,1.0552027357107965,0.8793356130923303,0,120.94395280235987,28
miles,brussino,1993-02-01,234057,2021,Full Season,Italy - Liga A,Orange,16,3,266,83,NA,24,47,5,25,20,24,2,7,30,8,0,7,9,0,0,3,24,20,0,0,0,0,0,0,0,0,0,81.6,500.4995,NA,NA,1354.7356,15.546,0.5027,0.3472,0.3333333333333333,3.7641,14.6187,8.9342,4.4051,1.9879,1.4668,7.816,-1.5619,72,24,0.2,0.3472222222222222,11.233082706766918,16.625,3,1.218045112781955,0.40601503759398494,0,101.71568627450982,28
kadoshnikov,christmas,1993-08-10,785284,2017,Full Season,NBA,Thunder,73,6,1135.2833,430,-49,43,100,99,264,47,53,9,20,75,44,14,33,37,62,22,8,122,0,0,1,0,0,0,0,0,0,0,398.2,2314.6044,2504.5,421,8564.9572,15.7279,0.5551,0.7253,0.1456043956043956,2.2515,8.3138,4.1831,7.9835,1.7237,0.6262,7.8512,-1.8309,364,53,0.375,0.7252747252747253,13.635363085143592,15.55182602739726,8,1.1732754282565416,0.2536811736770901,1.9660290959974485,107.98593671521849,24
kadoshnikov,christmas,1993-08-10,785284,2018,Full Season,NBA,Thunder,81,8,1243.8,377,69,33,77,90,234,41,48,11,29,100,30,4,26,43,78,47,10,135,0,0,2,0,0,0,0,0,0,0,327.2,2507.953,2666,361,8577.6105,12.3717,0.5676,0.7524,0.15434083601286175,2.7414,10.2934,6.3177,5.7126,1.711,1.1719,7.2601,-1.3166,311,48,0.38461538461538464,0.752411575562701,10.911722141823445,15.355555555555554,10,1.244573082489146,0.28943560057887124,2.2575976845151953,115.2200488997555,25
kadoshnikov,christmas,1993-08-10,785284,2019,Full Season,NBA,Thunder,31,2,588.1667,165,29,15,30,41,127,12,13,6,5,43,20,1,14,17,29,17,6,53,0,0,2,1,0,0,0,0,0,0,171.2,1258.1393,1272,165,9007.6928,12.2666,0.507,0.8089,0.08280254777070063,0.9124,7.2142,4.8119,3.7177,1.5495,1.2268,7.9221,-3.1117,157,13,0.3228346456692913,0.8089171974522293,10.099177665107527,18.97311935483871,6,1.0405213351928968,0.3672428241857283,1.7750069835643534,96.3785046728972,26
kadoshnikov,christmas,1993-08-10,785284,2012,Full Season,EuroLeague,Redbirds,6,1,70.48,15,NA,3,8,2,15,3,4,1,3,4,3,0,4,2,0,0,2,6,6,0,0,0,0,0,0,0,0,0,25.6,129.6115,NA,NA,1186.1618,19.0997,0.3029,0.6522,0.17391304347826086,4.2915,6.9312,6.6163,5.7849,1.8662,2.4437,13.9082,-5.7589,23,4,0.13333333333333333,0.6521739130434783,7.661748013620885,11.746666666666668,2,1.021566401816118,1.021566401816118,0,58.59375,19
kadoshnikov,christmas,1993-08-10,785284,2012,Full Season,Spain - ACB,Redbirds,18,6,294.62,86,NA,16,29,13,46,15,22,1,6,23,8,0,17,10,0,0,4,40,23,0,0,0,0,0,0,0,0,0,94.8,531.4855,NA,NA,2462.4074,16.697,0.5078,0.6133,0.29333333333333333,1.9459,7.9654,5.4856,3.148,1.9429,1.6389,16.7191,-2.0328,75,22,0.2826086956521739,0.6133333333333333,10.508451564727446,16.36777777777778,4,1.221912972642726,0.4887651890570905,0,90.71729957805908,19
kadoshnikov,christmas,1993-08-10,785284,2013,Full Season,EuroLeague,Lions,15,2,168.55,77,NA,14,22,11,34,16,16,1,4,12,5,0,8,6,0,0,1,20,15,0,0,0,0,0,0,0,0,0,66.4,289.6824,NA,NA,2148.3282,21.6704,0.6107,0.6071,0.2857142857142857,4.4769,10.8857,6.257,7.387,2.6175,0.4018,11.2613,4.3154,56,16,0.3235294117647059,0.6071428571428571,16.446158409967367,11.236666666666668,1,1.2815188371403143,0.21358647285671903,0,115.96385542168674,20
